"year","doy","GPP","R","NEP"
2005,244,0.161779409007387,-0.100955606797628,0.0195745732633895
2005,245,0.255514224436096,-0.292383009081808,-0.165594822709356
2005,246,0.0752648162540717,0.0175221359213761,0.104439487453239
2005,247,0.123845062833804,-0.11163143646636,-0.0357907535584753
2005,248,0.278905804702665,-0.214749725014334,-0.0264239712010172
2005,249,0.235682490573635,-0.264897817495125,-0.145658522655087
2005,250,1.84079650208191,-1.6411259457922,-0.505181135085604
2005,251,0.33238932358624,0.183432853986063,0.618002643547648
2005,252,-0.473792208550282,0.462759630234505,0.189687583598538
2005,253,0.3756612433426,-0.283259652803331,-0.0267373197865588
2005,254,0.266534910678812,-0.31301120825304,-0.184588835839647
2005,255,0.376897815672867,-0.406343217131803,-0.207396600275326
2005,256,0.252986565581923,-0.282480309869415,-0.153593607025824
2005,257,0.877453484003447,-0.993358467396333,-0.552839316321417
2005,258,0.271245964197108,0.045548486838542,0.350371812749609
2005,259,-0.829863548373946,0.531632432594516,-0.0800531501200503
2005,260,0.711505601691414,-0.284151724963761,0.322390251818524
2005,261,0.354999943589935,-0.300973278277493,-0.0744822963163608
2005,262,0.599197548928019,-0.571071901180286,-0.218943628950316
2005,263,-0.0131516344379261,-0.334600079697184,-0.508349649400629
2005,264,0.264001821305173,0.037093988140848,0.330314752526652
2005,265,0.344273223091286,-0.319187213385888,-0.112600343518666
2005,266,0.774859016289599,-0.311057180223789,0.34872488101485
2005,267,0.189788773283085,-0.168902835684302,-0.0663291967756873
2005,268,0.274019833343354,-0.254973025740212,-0.11315447506118
2005,269,0.335920173468899,-0.211906572375479,0.0188455459885364
2005,270,0.221188533821933,-0.144710883465365,0.00430143508579357
2005,271,0.213039072697153,-0.231646320214365,-0.14027520795589
2005,272,0.221739305121135,-0.16457220276378,-0.0262111294169065
2005,273,0.292105503277511,-0.232588902328723,-0.0592464523988592
2005,274,0.334782241892732,-0.186070331987857,0.058097471907075
2005,275,0.168511195995489,-0.188294766292872,-0.118884473158768
2005,276,0.21428394599647,-0.175306705712144,-0.0507924652922561
2005,277,0.381290884462342,-0.386264450827873,-0.206719087074227
2005,278,0.179130516915393,-0.122233073341732,-0.00440253192751799
2005,279,0.364179648748579,-0.331942114596831,-0.139548024153045
2005,280,0.281594874505897,-0.219910458500839,-0.0503695442560292
2005,281,0.134495475790417,-0.0786553036933441,0.0172304559134615
2005,282,0.26337819413235,-0.145119332129835,0.0476861175001016
2005,283,0.784658341016684,-0.54837589846502,-0.0395535721887091
2005,284,0.427686995884964,-0.239944724052968,0.0707164276231424
2005,285,0.564703681892242,-0.444526674347567,-0.10652486569994
2005,286,0.129225799627854,-0.119861287687239,-0.0527646593770481
2005,287,0.0531943834878321,-0.0236213386209712,0.0185346527544785
2005,288,-0.0365872860142788,-0.0492490614788184,-0.115263525112181
2005,289,0.256619556023336,-0.154892680088346,0.0253362113643319
2005,290,0.1630627069833,-0.189567320537514,-0.126561677032666
2005,291,0.494610271512779,-0.378411274931792,-0.0761808426625131
2005,292,0.440023729258299,-0.316266056478566,-0.0358699361317039
2005,293,0.430651031894532,-0.303713574194733,-0.0260027785018099
2005,294,0.203858369141001,-0.159150965099717,-0.0363840819219908
2005,295,0.193353761725194,-0.138636408306074,-0.0152356703310435
2005,296,0.141067129461045,-0.204437994653133,-0.172789421758595
2005,297,0.0721875407565931,-0.0449311740779382,0.00499907440662866
2005,298,0.448770001215173,-0.461684446903825,-0.254354785190154
2005,299,0.516635491181472,-0.54888417446644,-0.320025151845067
2005,300,0.0812723789780414,0.00300974039973427,0.0895168586897143
2005,301,0.270493202466106,-0.106864657330641,0.114987356316673
2005,302,0.212770880767729,-0.214313303341793,-0.113425120951262
