"datetime","do.obs","do.sat","k.gas","irr","wtr","z.mix"
2005-09-01 00:00:00,8.07,8.42056593511549,1.52694033127227,0,20.85,9.47470382603304
2005-09-01 01:00:00,8.07,8.43385479560441,1.93638113848359,0,20.77,9.42944489543819
2005-09-01 02:00:00,8.07,8.44384593688191,1.40653094839096,0,20.71,9.35228325870232
2005-09-01 03:00:00,8.05,8.44884940494617,1.12491068447791,0,20.68,9.4255441037862
2005-09-01 04:00:00,8.02,8.4555289044999,1.0738355140008,0,20.64,9.46824612179662
2005-09-01 05:00:00,8.01,8.46221780383812,1.20098633048203,24.41,20.6,9.34180270814614
2005-09-01 06:00:00,8.06,8.46891612296106,1.59994532905076,146.17,20.56,9.45043746982375
2005-09-01 07:00:00,8.11,8.47059217693095,2.7811374030999,385.79,20.55,9.51570433464976
2005-09-01 08:00:00,8.14,8.47226882120342,2.85263543885764,998.19,20.54,9.3653762147615
2005-09-01 09:00:00,8.16,8.47394605609222,4.0508380240111,1296.77,20.53,9.54768291764012
2005-09-01 10:00:00,8.18,8.47730229897456,4.92464031764042,1494.73,20.51,9.83744275087472
2005-09-01 11:00:00,8.2,8.48066090809125,5.77423274070939,1548.48,20.49,10.28510211013
2005-09-01 12:00:00,8.23,8.48234110077361,5.23034023577106,1538.32,20.48,10.6397707249111
2005-09-01 13:00:00,8.25,8.48402188595825,5.014597915182,1513.43,20.47,10.7569470518896
2005-09-01 14:00:00,8.28,8.47898130759642,5.59716178792411,1276.57,20.5,10.7603456448709
2005-09-01 15:00:00,8.29,8.48066090809125,4.98048633404821,996.95,20.49,10.7842050586708
2005-09-01 16:00:00,8.29,8.48906779967575,4.62292825856201,651.15,20.44,10.7515746829446
2005-09-01 17:00:00,8.26,8.49580399878788,4.04453726258968,188.62,20.4,10.6571991544004
2005-09-01 18:00:00,8.18,8.5059261545775,2.18261813477879,22.04,20.34,10.7674448399758
2005-09-01 19:00:00,8.16,8.5126861927405,1.49869762516482,0.1,20.3,10.3005479739668
2005-09-01 20:00:00,8.13,8.51437769697772,2.5855359608646,0,20.29,10.3391284496743
2005-09-01 21:00:00,8.14,8.52793130412828,2.67652683835866,0,20.21,10.3481003004206
2005-09-01 22:00:00,8.09,8.53132571017304,2.55281643279004,0,20.19,10.2903526661315
2005-09-01 23:00:00,8.12,8.54152337941481,2.51243371614839,0,20.13,10.2930038505896
2005-09-02 00:00:00,8.14,8.55344812998702,2.9306637239438,0,20.06,10.3203774725399
2005-09-02 01:00:00,8.15,8.56540256839284,3.54544361310212,0,19.99,10.0907129958358
2005-09-02 02:00:00,8.13,8.5671127752501,2.72605446612241,0,19.98,9.82287303293949
2005-09-02 03:00:00,8.09,8.56540256839284,2.86407935203788,0.1,19.99,9.93784381284512
2005-09-02 04:00:00,8.08,8.56540256839284,2.23166466329644,0,19.99,10.2744070285364
2005-09-02 05:00:00,8.08,8.57224704784224,2.22945663021784,9.02,19.95,10.3212381565077
2005-09-02 06:00:00,8.09,8.5756729428234,2.48968346575865,59.26,19.93,10.3393681509443
2005-09-02 07:00:00,8.11,8.57910127809728,2.18843576595828,181.5,19.91,10.2952926361481
2005-09-02 08:00:00,8.11,8.5756729428234,1.97345822555396,290.05,19.93,10.3201738888876
2005-09-02 09:00:00,8.12,8.57053501465133,2.03941754050203,405.26,19.96,10.3122785199422
2005-09-02 10:00:00,8.15,8.5688235905618,2.24033607623297,536.32,19.97,10.2825369186386
2005-09-02 11:00:00,8.18,8.5671127752501,1.8768583452522,786,19.98,10.3133037051955
2005-09-02 12:00:00,8.22,8.56198397874888,1.78204384575461,910.52,20.01,9.87109346680179
2005-09-02 13:00:00,8.24,8.5466303586367,2.0001445101019,1137.82,20.1,10.2662468146489
2005-09-02 14:00:00,8.23,8.53812174525591,2.08656473485946,867.13,20.15,9.95151448080455
2005-09-02 15:00:00,8.29,8.53302381558984,2.1740300366128,1062.01,20.18,10.9891503085247
2005-09-02 16:00:00,8.28,8.52114970225043,1.98912035411444,650.87,20.25,10.2948549426448
2005-09-02 17:00:00,8.24,8.5245393023386,2.02974357989297,298.98,20.23,10.2890626103444
2005-09-02 18:00:00,8.15,8.53132571017304,1.26691140191977,34,20.19,10.2834217417261
